protein,category,category_id,degree,clustering,betweenness
TNFRSF1A,Apoptosis,1,25,0.48333333333333334,0.004340581453535399
NFKBIB,Other,13,9,0.9722222222222222,0.0
BAX,Apoptosis,1,14,0.5934065934065934,0.0011274748843155026
SOCS3,JAK-STAT,10,18,0.5751633986928104,0.0005803538118376868
LCK,RTK signaling,3,25,0.4766666666666667,0.0030030034108493556
FGFR1,RTK signaling,3,26,0.5107692307692308,0.004452272945954704
MAPK3,MAPK signaling,6,83,0.17337643255950633,0.17813533930771977
COL1A1,ECM-adhesion,11,16,0.5083333333333333,0.0015131562649073388
FYN,RTK signaling,3,28,0.37566137566137564,0.008534113310857705
COL3A1,ECM-adhesion,11,10,0.7777777777777778,9.07413077460737e-06
REL,Transcription,4,18,0.6274509803921569,0.0014308070005444081
MAPK1,MAPK signaling,6,59,0.23787258912916423,0.11459094840326087
JAK2,JAK-STAT,10,42,0.3670150987224158,0.011255066097387975
CASP7,Apoptosis,1,20,0.531578947368421,0.0036892418236793645
NFKBIA,Other,13,33,0.4962121212121212,0.004799891972447875
AKT1,PI3K-AKT-MTOR,5,78,0.2261072261072261,0.05015545262200012
EGFR,RTK signaling,3,69,0.24040920716112532,0.04998016489202932
TIMP1,ECM-adhesion,11,17,0.5147058823529411,0.0020626083704248614
CASP10,Apoptosis,1,10,0.8222222222222222,0.0004591399947414435
TRAF3,Apoptosis,1,16,0.65,0.0020193168868239066
TRADD,Apoptosis,1,15,0.6857142857142857,0.0009299416096363663
IKBKB,Other,13,22,0.5324675324675324,0.0005676185184857764
CHUK,Other,13,64,0.19345238095238096,0.23177019736366472
TRAF2,Apoptosis,1,19,0.5730994152046783,0.0012670407823604229
IKBKG,Other,13,34,0.33689839572192515,0.08086322984306661
FAS,Apoptosis,1,14,0.6703296703296703,7.575278450237275e-05
DLL3,Notch signaling,9,4,0.6666666666666666,1.4437487343891285e-05
SHH,Other,13,23,0.3794466403162055,0.006106629916256536
HEY2,Transcription,4,7,0.2857142857142857,0.00016469817258887303
NOTCH2,Notch signaling,9,17,0.4411764705882353,0.00098336819026218
MMP11,ECM-adhesion,11,6,0.9333333333333333,0.0
TIMP4,ECM-adhesion,11,8,0.6785714285714286,0.0001814373390916639
MMP2,ECM-adhesion,11,22,0.5064935064935064,0.005864247151817051
TIMP3,ECM-adhesion,11,13,0.5384615384615384,0.0006307320900277068
MMP10,ECM-adhesion,11,6,0.9333333333333333,0.0
CCNB1,Cell cycle,0,26,0.49538461538461537,0.0046344849146456035
TCF7L2,Transcription,4,15,0.44761904761904764,0.0028797112990415173
SPRY2,MAPK signaling,6,6,0.8666666666666667,0.00027290505190334484
NF1,Other,13,22,0.6926406926406926,0.001579247743214195
RUNX1,Other,13,27,0.4131054131054131,0.007172779103735025
NPM1,Other,13,24,0.5507246376811594,0.0007992284167360707
PAK2,Other,13,14,0.46153846153846156,0.0032982570298870813
ATM,DNA repair,2,41,0.4060975609756098,0.0142343545830745
MDM2,DNA repair,2,42,0.3995354239256678,0.013353831863086004
MTOR,PI3K-AKT-MTOR,5,41,0.37682926829268293,0.014632589268128467
SMAD4,Transcription,4,40,0.40384615384615385,0.011774003343786222
LYN,RTK signaling,3,21,0.5190476190476191,0.005003673247078321
STAT5A,Transcription,4,24,0.5036231884057971,0.003475812183412577
SMAD2,Transcription,4,36,0.3968253968253968,0.015803988823693327
HRAS,MAPK signaling,6,34,0.44385026737967914,0.008153041897545888
MAP2K1,MAPK signaling,6,50,0.2816326530612245,0.09141386488998907
BIK,Apoptosis,1,3,0.3333333333333333,0.0
AURKA,Cell cycle,0,21,0.49523809523809526,0.0036257896735648327
STAT2,Transcription,4,11,0.7636363636363637,0.00024451342234013305
E2F1,Cell cycle,0,22,0.5584415584415584,0.00117048396464407
FANCD2,DNA repair,2,13,0.6282051282051282,0.00020527021104813838
FLT3,RTK signaling,3,21,0.6285714285714286,0.00017994602692980528
BRCA2,DNA repair,2,27,0.50997150997151,0.0006016553419229709
VHL,Other,13,11,0.5272727272727272,0.0005002738342951284
WEE1,Cell cycle,0,19,0.5672514619883041,0.002067756768198148
CCNE2,Cell cycle,0,12,0.696969696969697,0.00010247172461711325
ANGPT1,Angiogenesis,12,9,0.5277777777777778,0.00012809056888097908
BMP7,TGF-beta signaling,8,13,0.6282051282051282,0.00011927829174577402
WNT3,Wnt signaling,7,12,0.6060606060606061,0.0013970221218634735
TCF7,Transcription,4,14,0.4835164835164835,0.0002821463931732529
WNT1,Wnt signaling,7,19,0.47953216374269003,0.0010348833528559054
DVL1,Wnt signaling,7,14,0.6813186813186813,0.00038922827601052003
AXIN1,Wnt signaling,7,20,0.5105263157894737,0.0032881686784779346
FZD3,Wnt signaling,7,7,0.9523809523809523,9.027906155555892e-05
WNT3A,Wnt signaling,7,17,0.5808823529411765,0.0015612445878758787
BMP6,TGF-beta signaling,8,9,0.4722222222222222,0.0018502781811473418
